Source,Title,Content,Section,Url,Date
Expansión,Amazon México quiere llevar su corazón editorial al e-commerce,"La empresa de tecnología tiene un nuevo gerente general en el país, Pedro Huerta, quien tiene experiencia en la industria de los libros, pero también en dispositivos inteligentes.",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/03/01/amazon-mexico-quiere-llevar-su-corazon-editorial-al-e-commerce,01/03/2024
Expansión,Microsoft vende Toys for Bob para volver a ser un estudio independiente,El estudio afirmó que esta es una oportunidad para regresar a las raíces de ser una empresa “pequeña y ágil”.,Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/29/microsoft-vende-toys-for-bob-para-volver-a-ser-un-estudio-independiente,29/02/2024
Expansión,Esta lavadora con IA cuestionará tu forma de lavar,La tecnología de la Bespoke AI Laundry está enfocada en hacer más eficiente el uso de detergentes y agua.,Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/29/esta-lavadora-ia-samsung-te-dira-si-lavas-bien-tu-ropa,29/02/2024
Expansión,PS Plus: estos son los juegos gratis que llegan en marzo de 2024,PlayStation dio a conocer los juegos gratuitos que llegarán a PS Plus en marzo de 2024. Te decimos cuáles son y a partir de cuándo estarán disponibles.,Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/29/juegos-gratis-ps-plus-marzo-2024,29/02/2024
Expansión,"Si no se actualizó Max, te dejamos el paso a paso","En caso de que no hayas notado el cambio o necesites hacer la migración de manera manual, te explicamos cómo hacerlo.",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/28/como-cambiar-hbo-max-a-max,28/02/2024
Expansión,"Adiós, Apple Car; hola a la IA generativa","La empresa de Cupertino canceló su Proyecto Titán, mismo que se enfocaba en el desarrollo de un vehículo eléctrico.",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/28/apple-cancela-proyecto-auto-electrico,28/02/2024
Expansión,Ya podrás clonar tu personalidad con IA Generativa,"Rili.ai es una aplicación que permite que los usuarios tengan una réplica de ellos mismos, ya sea a través de un clon laboral o uno para asuntos personales.",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/28/clones-con-inteligencia-artificial-ya-son-una-realidad,28/02/2024
Expansión,Huawei quiere que los estadios del Mundial 2026 tengan red 5.5G,La compañía aseguró que tiene la capacidad de desplegar tecnología para generar conexiones más rápidas en recintos concurridos.,Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/28/huawei-quiere-que-los-estadios-del-mundial-2026-tengan-red-5-5g,28/02/2024
Expansión,Hackean a la Sedena y el Portal del empleo; venden datos de los usuarios,Los datos de 12 millones de mexicanos se vieron afectados por esta vulneración al portal empleo.gob.mx.,Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/27/hackean-sedena-portal-del-empleo,27/02/2024
Expansión,¿Es malo dejar mi laptop conectada todo el tiempo a la luz?,"Las laptos son herramientas de mucho uso. Sin embargo, muchas personas tienden a dejarlas conectadas todo el tiempo. Te decimos cómo afecta esto a tu ordenador.",Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/27/es-malo-dejar-mi-laptop-conectada-todo-el-tiempo,27/02/2024
Expansión,"IA híbrida, así es cómo se desbloqueará el máximo potencial de la tecnología",Conoce por qué este nuevo estándar es lo que los especialistas están buscando desarrollar y su impacto en el mundo de la tecnología.,Ciencia y tecnología,https://expansion.mx/tecnologia/2024/02/27/que-es-ia-hibrida-como-superara-potencial-de-chatgpt,27/02/2024
